DISENO;Gramaje ;PLANTA;GAP LO(mm);GAP LT(mm); TEMPERATURA HORNO 1(C); TEMPERATURA HORNO 2(C); TEMPERATURA HORNO 3(C); TEMPERATURA HORNO 4(C); TEMPERATURA HORNO 5(C); TEMPERATURA HORNO 6(C);VELOCIDAD VENTILADOR HORNO 1(rpm);VELOCIDAD VENTILADOR HORNO 2(rpm);VELOCIDAD VENTILADOR HORNO 3(rpm);VELOCIDAD VENTILADOR HORNO 4 (rpm);VELOCIDAD VENTILADOR HORNO 5 (rpm);VELOCIDAD VENTILADOR HORNO 6 (rpm); VELOCIDAD DE LA LINEA m/min;PESO IMPREGNADO LO1;PESO IMPREGNADO LC;PESO IMPREGNADO LT1;VOLATILES LO2;VOLATILES LC2; VOLATILES LT2;FLUIDEZ;ESTADO B LO3;ESTADO B LC3;ESTADO B LT3
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;169,2;165,5;168;7,1;5,7;6,6;4,7;19,6;54,5;31,22
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;169,2;165,5;168;7,1;5,7;6,6;4,7;19,6;54,5;31,22
Nevado;90;BP2;0,15;0,15;151;151;151;218;223;150;700;700;700;850;850;850;26;223,5;222,1;219,3;7,1;6,3;6,2;2,6;;;
Nevado;90;BP2;0,15;0,15;151;151;151;218;223;150;700;700;700;850;850;850;26;221,4;221,1;221,4;6,5;5,4;5,4;2,1;30,7;68;48,7
Nevado;90;BP2;0,15;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;217,2;217,6;214,1;5,7;4,5;5;1,8;40,8;71,1;45,1
Nevado;90;BP2;0,15;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;216,6;217,7;216,2;6;5;5,6;1,7;29,8;67,5;38,5
Nevado;90;BP2;0,146;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;218,8;217,1;216,7;6,6;5,1;6,9;1,5;28,9;62,9;43,8
Nevado;90;BP2;0,146;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;215,9;216,7;215,1;6;5;5,7;1,7;35,3;65,5;35,3
Nevado;90;BP2;0,146;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;219,5;211,6;213,8;6,5;4,7;5,7;1,4;32;64,3;34,4
Nevado;90;BP2;0,146;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;219,8;211,2;213,9;6,3;4,4;5,2;1,6;29,6;71;38,1
Nevado;90;BP2;0,146;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;212,8;208,6;214,8;5,7;4,4;5,4;1,1;57,1;79,5;55,6
Nevado;90;BP2;0,146;0,15;149;149;149;220;226;146;700;700;700;900;900;900;26;218,6;213,8;219;6,6;5,6;6,5;2,1;20,4;38,7;20,2
Humo;65;BP1;0,1;0,106;133;133;133;206;214;137;1200;1200;1200;1300;1200;1100;33;164,9;165,8;165,7;6,3;6,1;6,6;5;20,2;28,5;24,4
Humo;65;BP1;0,1;0,106;133;133;133;206;214;137;1200;1200;1200;1300;1200;1100;33;164,9;165,8;165,7;6,3;6,1;6,6;5;20,2;28,5;24,4
Humo;65;BP1;0,106;0,112;135;135;135;207;215;137;1250;1250;1250;1300;1200;1100;33;160,6;160,6;159,5;6;5,6;5,8;4,3;19,7;50,2;28,2
Humo;65;BP1;0,106;0,112;135;135;135;207;215;137;1250;1250;1250;1300;1200;1100;33;164,6;164,2;162;6,4;5,6;5,9;4,5;21,3;35,5;29,8
Humo;65;BP1;0,11;0,115;140;140;140;207;215;137;1250;1250;1250;1300;1200;1100;33;165;166,7;167,6;6,5;6,2;6,6;5;16,8;27,4;17,5
Humo;65;BP1;0,11;0,115;140;140;140;207;215;137;1250;1250;1250;1300;1200;1100;33;162,5;164,5;165,9;5,9;5;5,9;4,8;37,1;51;24,1
Humo;65;BP1;0,11;0,115;140;140;140;207;215;137;1250;1250;1250;1300;1200;1100;33;166,1;167,5;166,3;6,6;5,7;6,4;5;20;27,9;18,6
Humo;65;BP1;0,11;0,115;140;140;140;207;215;137;1250;1250;1250;1300;1200;1100;33;164,9;166,6;165,5;6,1;5,8;6,5;5;18;34,7;23,3
Austral;68;BP3;0,117;0,115;142;142;142;216;220;140;1300;1300;1300;1350;1250;1150;33;177,6;170,1;174,3;7,5;5,9;6,7;2,7;11,6;30,7;20,3
Austral;68;BP3;0,113;0,107;142;142;142;216;220;144;1300;1300;1300;1350;1250;1150;33;168,3;162,7;170,3;5,6;4,4;5,4;1,6;35,4;75;35,4
Austral;68;BP3;0,113;0,107;142;142;142;216;220;144;1300;1300;1300;1350;1250;1150;33;172,2;163,8;166;6,4;4,8;5,5;1,9;17,9;61,6;30,4
Austral;68;BP3;0,113;0,107;142;142;142;216;220;144;1300;1300;1300;1350;1250;1150;33;169,2;166,3;169;6,3;5;5,9;2,8;25,9;60,1;41,1
Austral;68;BP3;0,113;0,108;140;140;140;216;220;142;1200;1200;1200;1300;1200;1100;33;172,5;164,7;168,3;6,7;5;5,7;2,5;20;56,7;30,7
Austral;68;BP3;0,113;0,108;140;140;140;216;220;142;1200;1200;1200;1300;1200;1100;33;172,5;164,7;168,3;6,7;5;5,7;2,5;20;56,7;30,7
Austral;68;BP3;0,113;0,108;140;140;140;216;220;142;1200;1200;1200;1300;1200;1100;33;171,3;164,3;168,8;7,2;5,4;6,5;3,4;32,1;75,5;50,9
Austral;68;BP3;0,113;0,101;136;136;136;216;220;139;1200;1200;1200;1300;1200;1100;33;177,2;167,1;169,4;8,6;6,3;7,1;5,7;13,2;40,3;23,3
Austral;68;BP3;0,113;0,101;136;136;136;216;220;139;1200;1200;1200;1300;1200;1100;33;166,2;164,6;169,7;7,2;6;7;5;24,7;49,7;35,4
Austral;68;BP3;0,113;0,101;136;136;136;216;220;139;1200;1200;1200;1300;1200;1100;33;166,2;164,6;169,7;7,2;6;7;5;24,7;49,7;35,4
Austral;68;BP3;0,113;0,101;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;169,4;166,8;172,4;6,9;6;7,4;3,8;39,4;54,2;27
Austral;68;BP3;0,113;0,101;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;168,2;164,3;169,4;7,3;5,7;6,8;3,6;36;74;38,1
Austral;68;BP3;0,113;0,101;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;168,5;166,2;170,2;7,5;6,3;7,6;5,2;25,1;49,6;28
Austral;68;BP3;0,113;0,101;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;170,1;167,5;172,7;7,5;6,1;7,5;5,9;25,4;48,7;22,9
Austral;68;BP3;0,113;0,101;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;171,2;166,1;169,2;7,8;6,1;7,6;5,4;20;48,2;19
Austral;68;BP3;0,113;0,101;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;169,7;168,2;172,4;7,3;5,7;7,4;3,6;27,5;52,6;30,56
Austral;68;BP3;0,105;0,115;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;169,9;169;173,6;7,4;6;7,5;3,6;27;53,5;32,78
Austral;68;BP3;0,105;0,115;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;170,6;169;172,6;7,3;6,3;7,4;3,8;26,7;48,8;29,78
Austral;68;BP3;0,105;0,115;133;133;133;216;220;139;1200;1200;1200;1300;1200;1100;33;172,3;168,1;175,3;7,3;6;7,3;4,3;30,6;47,9;31,51
