DISENO;Gramaje ;PLANTA;GAP LO(mm);GAP LT(mm); TEMPERATURA HORNO 1(C); TEMPERATURA HORNO 2(C); TEMPERATURA HORNO 3(C); TEMPERATURA HORNO 4(C); TEMPERATURA HORNO 5(C); TEMPERATURA HORNO 6(C);VELOCIDAD VENTILADOR HORNO 1(rpm);VELOCIDAD VENTILADOR HORNO 2(rpm);VELOCIDAD VENTILADOR HORNO 3(rpm);VELOCIDAD VENTILADOR HORNO 4 (rpm);VELOCIDAD VENTILADOR HORNO 5 (rpm);VELOCIDAD VENTILADOR HORNO 6 (rpm); VELOCIDAD DE LA LINEA m/min;PESO IMPREGNADO LO1;PESO IMPREGNADO LC;PESO IMPREGNADO LT1;VOLATILES LO2;VOLATILES LC2; VOLATILES LT2;FLUIDEZ;ESTADO B LO3;ESTADO B LC3;ESTADO B LT3
Nuez;60;FF1;0,09;0,087;126;126;126;217;220;142;1100;1100;1100;1300;1200;1100;33;154,6;155,3;155,6;5,7;4,9;5,6;4,1;36;59,1;42,5
Nuez;60;FF1;0,09;0,087;126;126;126;217;220;142;1100;1100;1100;1300;1200;1100;33;154,6;155,3;155,6;5,7;4,9;5,6;4,1;36;59,1;42,5
Nuez;60;BP1;0,09;0,087;130;130;130;214;220;137;1100;1100;1100;1300;1200;1100;33;153,7;154,2;151,8;6,2;5,8;6,1;5;22,6;38,8;30,4
Nuez;60;BP1;0,09;0,087;130;130;130;214;220;137;1100;1100;1100;1300;1200;1100;33;156,6;153,7;154;5,7;5,2;5,8;5;24,7;44,1;29,4
Nuez;60;BP1;0,09;0,087;130;130;130;214;220;137;1100;1100;1100;1300;1200;1100;33;148,9;148,9;147,6;5,6;5;5,7;4,1;20,9;37;21,5
Nuez;60;BP1;0,09;0,087;130;130;130;214;220;137;1100;1100;1100;1300;1200;1100;33;149,6;150,8;148,2;6,1;5,3;5,4;5,1;21,2;40,9;28,7
Tabacco;65;BP1;0,104;0,107;138;138;138;219;223;138;1250;1250;1250;1300;1200;1100;33;168,1;167,5;168,7;6,3;5,6;5,9;5,1;20,6;33,3;21,2
Tabacco;65;BP1;0,104;0,107;138;138;138;219;223;138;1250;1250;1250;1300;1200;1100;33;168,1;167,5;168,7;6,3;5,6;5,9;5,1;20,6;33,3;21,2
Tabacco;65;BP1;0,104;0,107;138;138;138;219;223;138;1250;1250;1250;1300;1200;1100;33;171,8;169,1;169,1;6,7;5,5;5,9;3,7;24,2;50,5;35,1
Tabacco;65;BP1;0,104;0,107;138;138;138;219;223;138;1250;1250;1250;1300;1200;1100;33;171,8;169,1;169,1;6,7;5,5;5,9;3,7;24,2;50,5;35,1
