DISENO,Gramaje,PLANTA,GAP LO(mm),GAP LT(mm),Temp Horno 1,Temp Horno 2,Temp Horno 3,Temp Horno 4,Temp Horno 5,Temp Horno 6,Vel Vent Horno 1,Vel Vent Horno 2,Vel Vent Horno 3,Vel Vent Horno 4,Vel Vent Horno 5,Vel Vent Horno 6,Vel Linea,PESO IMPREGNADO LO1,PESO IMPREGNADO LC,PESO IMPREGNADO LT1,VOLATILES LO2,VOLATILES LC2,VOLATILES LT2,FLUIDEZ,ESTADO B LO3,ESTADO B LC3,ESTADO B LT3
12,90,1,0.165,0.16,137,137,137,188,198,137,1050,1050,1050,1200,1100,1000,26,219.9,213.3,212.6,7.7,6.3,6.5,4.5,20.3,40.5,28.0
12,90,1,0.165,0.16,137,137,137,188,198,137,1050,1050,1050,1200,1100,1000,26,219.9,213.3,212.6,7.7,6.3,6.5,4.5,20.3,40.5,28.0
12,90,1,0.165,0.16,137,137,137,188,198,137,1050,1050,1050,1200,1100,1000,26,218.6,215.1,215.2,6.3,6.5,6.4,4.7,19.8,39.7,28.7
12,90,1,0.165,0.16,137,137,137,188,198,137,1050,1050,1050,1200,1100,1000,26,218.6,215.1,215.2,6.3,6.5,6.4,4.7,19.8,39.7,28.7
12,90,4,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,220.0,214.4,219.0,7.0,6.3,6.8,6.1,17.4,34.0,18.9
12,90,4,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,217.8,215.9,219.4,6.8,6.3,6.7,5.9,28.9,42.6,27.6
12,90,4,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,219.3,213.8,217.7,7.1,6.5,6.8,5.0,17.6,30.7,16.1
12,90,4,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,219.3,213.8,217.7,7.1,6.5,6.8,5.0,17.6,30.7,16.1
12,90,4,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,214.7,211.8,214.4,7.0,6.3,6.9,4.3,22.8,45.7,21.5
12,90,4,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,214.7,211.8,214.4,7.0,6.3,6.9,4.3,22.8,45.7,21.5
12,90,3,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,210.8,206.7,211.0,6.2,5.8,6.6,3.2,31.1,57.7,33.6
12,90,3,0.135,0.145,144,144,144,188,198,137,1050,1050,1050,1200,1100,1000,26,210.5,200.3,205.8,6.8,5.5,6.3,2.9,24.7,53.0,37.1
12,90,3,0.145,0.153,144,144,144,190,198,139,1050,1050,1050,1200,1100,1000,26,204.9,202.8,209.0,5.8,5.1,5.8,2.0,44.7,68.7,53.5
12,90,3,0.145,0.153,144,144,144,190,198,139,1050,1050,1050,1200,1100,1000,26,204.9,202.8,209.0,5.8,5.1,5.8,2.0,44.7,68.7,53.5
6,75,1,0.125,0.105,120,120,120,185,195,137,1100,1100,1100,1300,1200,1100,26,177.5,176.7,182.6,6.7,5.8,7.6,4.6,66.6,76.3,56.5
6,75,1,0.125,0.105,120,120,120,185,195,137,1100,1100,1100,1300,1200,1100,26,177.2,175.3,180.1,6.8,5.5,7.4,5.0,52.7,70.5,47.3
6,75,1,0.125,0.105,120,120,120,185,193,137,1100,1100,1100,1250,1150,1050,26,179.0,174.9,172.7,6.3,5.6,6.4,4.3,52.7,71.2,43.5
6,75,1,0.125,0.105,120,120,120,185,193,137,1100,1100,1100,1250,1150,1050,26,173.5,172.3,174.8,6.0,4.9,5.6,2.8,61.5,80.7,58.9
6,75,1,0.125,0.105,120,120,120,185,193,137,1100,1100,1100,1250,1150,1050,26,181.3,178.1,179.7,7.1,5.9,7.3,5.0,34.6,59.3,41.1
6,75,1,0.135,0.111,120,120,120,188,195,135,850,850,850,1200,1100,1000,26,175.1,171.1,175.3,6.3,5.7,6.4,4.2,40.4,56.1,36.5
6,75,1,0.135,0.111,120,120,120,188,195,135,850,850,850,1200,1100,1000,26,174.6,173.3,175.7,6.7,5.4,6.6,4.5,48.2,61.3,45.7
6,75,1,0.135,0.111,120,120,120,188,195,135,850,850,850,1200,1100,1000,26,172.6,170.5,173.9,6.3,5.2,6.1,4.0,48.0,63.2,47.2
7,72,1,0.124,0.105,121,121,121,185,191,138,900,900,900,1150,1050,950,26,174.7,174.9,175.7,6.7,6.1,6.9,5.3,29.6,45.2,28.9
7,72,1,0.124,0.105,121,121,121,185,191,138,900,900,900,1150,1050,950,26,174.7,174.9,175.7,6.7,6.1,6.9,5.3,29.6,45.2,28.9
7,72,1,0.124,0.105,121,121,121,185,191,138,900,900,900,1150,1050,950,26,179.7,173.2,180.0,7.1,5.9,6.6,4.8,31.6,46.7,25.81
7,72,1,0.124,0.105,121,121,121,185,191,138,900,900,900,1150,1050,950,26,178.3,171.2,175.5,6.8,5.7,6.7,4.3,32.6,47.9,27.58
7,72,1,0.124,0.105,121,121,121,185,191,138,900,900,900,1150,1050,950,26,176.6,172.4,178.2,7.0,6.0,7.3,4.6,27.2,44.0,24.88
7,72,1,0.124,0.105,121,121,121,185,191,138,900,900,900,1150,1050,950,26,176.6,172.4,178.2,7.0,6.0,7.3,4.6,27.2,44.0,24.88
